outbreakId,eventId,animalCategory,startDate,endDate,totalCases,isCluster,longitude,latitude,active,totalOutbreaks,locationName,locationApprox,status,animalCategoryLabel,isClusterLabel,diseaseName,diseaseCategory,diseaseType,speciesDetails
182429,7291,domestic,2026-02-24,2026-02-27,56.0,False,-60.0568,-35.0731,,1,CHIVILCOY,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
182601,7291,domestic,2026-02-18,2026-03-04,10.0,False,-62.9279,-32.7582,,1,ORDOÑEZ,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
182784,7291,wild,2026-03-01,2026-03-23,4.0,False,-59.2921,-35.0088,,1,NAVARRO,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Coscoroba coscoroba'}]
183455,7291,domestic,2026-03-01,2026-03-05,17.0,False,-58.2813,-35.5367,,1,RANCHOS,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
183457,7291,domestic,2026-03-01,2026-03-10,24.0,False,-57.6287,-37.8464,,1,MAR DEL PLATA,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
183458,7291,domestic,2026-03-01,2026-03-05,4.0,False,-57.9636,-35.5716,,1,CHASCOMUS,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
183459,7291,domestic,2026-03-01,2026-03-07,14.0,False,-58.9186,-35.8411,,1,LAS FLORES,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
184532,7291,domestic,2026-03-04,2026-03-14,25.0,False,-67.3629,-39.0487,,1,CERVANTES,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
184533,7291,domestic,2026-03-12,2026-03-19,36.0,False,-59.9159,-36.7346,,1,AZUL,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
184534,7291,domestic,2026-03-06,2026-03-20,99.0,False,-58.1749,-37.0479,,1,AYACUCHO,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
184535,7291,wild,2026-03-12,2026-04-06,4.0,False,-60.025,-36.0598,,1,GENERAL ALVEAR,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Cairina moschata'}]
184536,7291,domestic,2026-03-17,2026-03-21,14.0,False,-67.366,-39.0367,,1,CERVANTES,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
184537,7291,domestic,2026-03-17,2026-03-24,123.0,False,-63.2418,-32.0149,,1,LOS ZORROS,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
184945,7291,domestic,2026-03-18,2026-03-23,128.0,False,-60.2725,-35.0198,,1,ALBERTI,False,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Birds'}]
185879,7291,domestic,2026-03-24,2026-03-27,15.0,False,-60.2707,-35.0222,,1,ALBERTI,False,,,,H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
187173,7291,domestic,2026-04-01,2026-04-15,82.0,False,-67.9904,-38.7611,,1,GENERAL ROCA,False,,,,H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
188996,7291,domestic,2026-05-05,2026-05-09,66.0,False,-66.10268,-40.63415,,1,VALCHETA,False,,,,empty strain - H5N1 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Birds'}]
185935,7424,wild,2026-03-27,2026-04-01,6.0,False,11.13052,60.71049,,1,Stange,True,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Branta canadensis'}]
185936,7424,wild,2026-03-26,2026-04-01,4.0,False,11.36544,59.41389,,1,Rakkestad,True,,,,empty strain - H5 (HPAI non. Plt),OIE listed,,[{'spicieName': 'Anser anser'}]
186217,7424,wild,2026-03-30,2026-04-09,1.0,False,8.54605,58.30317,,1,Grimstad,True,,,,HPAI (non-poultry including wild birds),OIE listed,Aves,[{'spicieName': 'Cygnus olor'}]
